seq_len,wall_time,cpu_time,rnadist string,rnadist tree,rnapdist,f1score,mcc,auc
206,605.262,829.889,102,66,108.692,0.636,0.453,
110,606.308,831.348,16,10,23.814,0.927,0.89,
38,6.426,7.717,0,0,4.364,1.0,1.0,
75,606.319,836.359,20,10,63.937,0.867,0.579,
174,605.747,835.643,52,35,58.688,0.747,0.608,
76,606.56,836.595,24,12,40.594,0.842,0.717,
58,606.284,836.314,8,2,8.209,0.966,0.949,
56,16.436,22.878,8,4,9.78,0.929,0.898,
20,6.3,7.557,0,0,1.56,1.0,1.0,
118,331.892,429.8,4,2,43.397,0.983,0.975,
135,606.344,771.842,128,78,86.518,0.481,0.218,
377,606.411,771.911,282,161,150.56,0.536,0.309,
258,606.338,771.835,96,58,82.578,0.779,0.678,
30,6.418,7.847,4,2,3.075,0.933,0.905,
76,606.138,771.566,8,4,31.023,0.947,0.915,
154,606.412,771.911,68,37,70.546,0.786,0.634,
57,6.991,9.374,0,0,9.459,1.0,1.0,
117,606.621,740.882,16,8,64.727,0.932,0.894,
82,606.384,740.611,38,17,19.302,0.768,0.648,
97,606.867,741.128,16,4,10.023,0.959,0.939,
60,606.673,740.934,8,4,60.425,0.933,,
83,606.3,740.506,10,4,25.174,0.952,0.929,
50,606.37,740.595,6,4,18.138,0.92,0.855,
347,606.463,740.704,182,103,108.172,0.697,0.549,
76,20.476,27.758,8,4,22.646,0.947,0.922,
52,606.168,843.838,10,6,19.741,0.885,0.822,
135,606.596,844.394,36,18,94.107,0.867,0.625,
82,606.472,844.249,28,8,12.873,0.902,0.856,
106,92.266,126.876,8,4,18.95,0.962,0.94,
23,6.517,7.834,2,2,1.085,0.913,0.865,
40,606.502,844.297,4,2,0.496,0.95,0.874,
331,606.44,844.209,46,21,125.301,0.937,0.898,
136,97.777,135.549,8,4,17.563,0.971,0.957,
34,606.48,742.895,8,4,9.003,0.882,0.672,
117,606.631,743.075,16,8,67.579,0.932,0.894,
71,6.599,8.028,4,2,4.203,0.972,0.955,
125,607.174,743.625,8,4,32.884,0.968,0.952,
68,606.886,743.337,48,24,35.666,0.779,0.67,
120,606.678,743.124,24,13,24.031,0.883,0.824,
91,17.629,24.551,8,4,10.245,0.956,0.935,
122,606.325,798.171,20,11,44.719,0.902,0.845,
32,6.717,8.127,4,2,5.078,0.938,0.91,
69,606.647,728.984,8,4,17.444,0.942,0.915,
74,606.725,729.066,52,21,59.562,0.703,0.328,
74,6.584,7.832,8,4,8.181,0.946,0.921,
392,606.715,729.053,206,111,119.76,0.643,0.465,
87,17.321,23.238,4,2,38.648,0.977,0.965,
70,606.582,728.914,8,4,14.664,0.943,0.906,
90,30.282,41.404,4,2,11.069,0.978,0.967,
88,606.705,729.044,12,6,70.015,0.932,0.871,
115,606.334,854.742,28,15,49.909,0.87,0.789,
360,606.57,855.027,308,191,179.25,0.369,0.055,
30,6.516,7.753,8,4,6.612,0.867,0.816,
161,606.641,855.106,40,17,36.172,0.876,0.818,
31,6.365,7.387,6,4,6.278,0.871,0.803,
195,606.593,855.058,42,22,67.412,0.892,0.844,
64,606.268,854.648,14,2,37.349,0.969,0.952,
32,6.611,8.036,4,2,1.961,0.938,0.91,
114,368.409,552.289,4,2,31.904,0.982,0.974,
169,611.401,890.09,24,15,42.216,0.905,0.855,
46,611.3,889.944,12,6,19.447,0.87,0.796,
83,610.727,889.246,12,2,23.592,0.976,0.963,
72,565.211,826.515,0,0,21.573,1.0,1.0,
115,611.448,890.145,30,18,42.367,0.809,0.699,
116,611.691,890.384,12,6,40.719,0.948,0.919,
77,336.861,508.625,4,2,19.229,0.974,0.96,
77,611.644,765.105,12,2,18.115,0.974,0.961,
29,11.208,13.153,4,3,3.419,0.862,0.796,
34,11.017,12.614,0,0,7.062,1.0,1.0,
155,611.121,764.568,32,16,103.657,0.897,0.798,
51,611.241,764.7,8,4,7.076,0.922,0.874,
119,199.449,259.867,8,4,17.745,0.966,0.951,
54,11.403,13.575,8,4,3.369,0.926,0.893,
25,11.311,13.437,4,2,6.813,0.92,0.881,
125,612.539,802.786,8,4,32.885,0.968,0.952,
126,611.458,801.631,30,18,25.218,0.857,0.794,
33,163.613,243.499,6,4,11.593,0.879,0.822,
76,611.234,801.378,12,3,15.81,0.947,0.921,
71,612.035,802.267,8,4,16.856,0.944,0.91,
126,612.135,802.369,84,42,76.727,0.667,0.519,
377,612.658,802.902,236,138,156.839,0.599,0.392,
75,151.49,226.561,0,0,30.597,1.0,1.0,
109,13.861,18.17,4,2,5.627,0.982,0.972,
75,342.192,477.63,2,2,30.163,0.973,0.955,
38,11.859,14.966,0,0,5.029,1.0,1.0,
46,610.706,820.698,6,4,15.708,0.913,0.863,
74,611.502,821.564,8,4,24.47,0.946,0.91,
74,610.966,821.027,12,2,20.742,0.973,0.959,
122,364.722,507.712,8,4,27.565,0.967,0.951,
90,116.009,168.886,8,4,8.959,0.956,0.935,
28,11.017,12.723,4,2,3.357,0.929,0.889,
118,612.243,771.775,8,4,11.248,0.966,0.949,
242,611.781,771.313,156,103,110.186,0.55,0.3,
37,11.061,12.888,8,4,2.53,0.892,0.836,
76,611.389,770.887,14,2,27.489,0.974,0.959,
104,298.349,399.523,8,4,14.631,0.962,0.944,
78,611.562,771.088,12,2,21.507,0.974,0.961,
29,11.053,12.888,8,4,2.932,0.862,0.812,
49,611.931,835.08,30,21,26.042,0.531,0.289,
142,611.812,834.94,16,4,25.771,0.972,0.958,
258,612.155,835.359,100,58,89.712,0.771,0.654,
156,612.073,835.277,54,23,64.748,0.885,0.807,
161,611.904,835.046,18,4,23.549,0.975,0.963,
144,612.006,835.192,28,16,22.172,0.896,0.847,
120,367.576,526.387,0,0,10.781,1.0,1.0,
16,11.748,13.974,4,2,6.545,0.875,0.828,
62,610.774,892.216,10,2,23.287,0.968,0.952,
29,10.664,12.188,0,0,3.794,1.0,1.0,
349,611.292,892.899,266,161,160.811,0.456,0.169,
210,611.341,892.947,156,93,95.793,0.529,0.296,
116,611.089,892.663,18,11,36.43,0.897,0.834,
113,610.984,892.515,32,18,69.566,0.85,0.671,
110,610.631,892.009,30,20,30.737,0.782,0.674,
75,101.199,150.621,8,4,27.46,0.947,0.917,
189,610.713,857.637,102,45,64.467,0.762,0.648,
67,610.063,856.733,10,2,21.282,0.97,0.956,
24,11.565,14.41,0,0,2.567,1.0,1.0,
