seq_len,wall_time,cpu_time,rnadist string,rnadist tree,rnapdist,f1score,mcc
339,0.197,0.022,362,180,145.37,0.41,0.117
67,0.149,0.02,44,21,23.921,0.448,0.17
206,0.202,0.019,150,95,112.631,0.306,-0.04
339,0.208,0.022,338,213,182.796,0.372,0.065
50,0.123,0.011,28,14,29.034,0.72,0.642
39,0.113,0.009,16,8,11.882,0.795,0.728
151,0.165,0.021,76,48,45.304,0.662,0.505
331,0.224,0.023,298,154,120.642,0.492,0.27
80,0.144,0.019,56,30,22.15,0.7,0.568
96,0.154,0.018,24,16,17.655,0.833,0.75
92,0.151,0.018,88,46,47.023,0.478,0.213
171,0.172,0.019,184,107,103.85,0.409,0.115
151,0.168,0.022,60,41,46.112,0.709,0.578
34,0.111,0.008,16,10,9.198,0.706,0.161
30,0.139,0.012,8,4,2.349,0.867,0.804
94,0.148,0.018,32,19,24.078,0.745,0.62
70,0.142,0.018,34,18,34.647,0.7,0.548
74,0.153,0.015,34,19,26.681,0.716,0.426
58,0.135,0.018,16,10,6.037,0.828,0.76
76,0.128,0.011,40,20,21.124,0.737,0.646
26,0.117,0.011,6,5,5.416,0.769,0.659
146,0.158,0.017,94,69,46.075,0.527,0.298
126,0.157,0.02,36,21,25.928,0.794,0.705
258,0.203,0.02,106,58,86.702,0.752,0.634
119,0.145,0.013,70,54,60.783,0.429,0.143
34,0.118,0.01,14,10,8.145,0.647,0.469
126,0.161,0.018,74,39,37.556,0.698,0.542
75,0.136,0.017,60,33,27.637,0.64,0.478
72,0.135,0.013,64,30,32.795,0.528,0.301
120,0.152,0.018,78,58,55.062,0.483,0.225
75,0.118,0.01,50,26,31.726,0.653,0.343
32,0.119,0.011,12,8,18.887,0.688,0.56
77,0.132,0.011,66,29,32.955,0.597,0.403
23,0.114,0.01,2,2,6.209,0.913,0.863
67,0.127,0.011,34,18,28.048,0.672,0.451
29,0.119,0.009,14,9,11.317,0.655,0.479
161,0.182,0.021,82,53,55.381,0.665,0.496
30,0.12,0.01,4,4,5.338,0.867,0.8
119,0.166,0.013,60,45,56.259,0.462,0.188
120,0.181,0.019,38,23,22.365,0.75,0.637
28,0.124,0.011,10,8,6.548,0.571,0.37
266,0.194,0.014,240,141,108.421,0.376,0.077
319,0.203,0.021,260,152,161.073,0.467,0.201
266,0.203,0.016,226,135,103.563,0.459,0.209
34,0.118,0.009,8,6,6.106,0.824,0.729
120,0.201,0.015,82,42,46.796,0.583,0.37
105,0.173,0.022,72,38,51.554,0.59,0.386
118,0.188,0.024,46,25,48.275,0.771,0.67
46,0.126,0.012,46,26,24.033,0.587,0.38
36,0.125,0.011,0,0,2.992,1.0,1.0
48,0.131,0.016,8,4,5.569,0.917,0.881
35,0.12,0.011,8,4,3.38,0.886,0.826
32,0.116,0.009,10,7,7.743,0.75,0.625
349,0.221,0.021,372,186,209.336,0.387,0.092
94,0.156,0.019,72,39,48.386,0.511,0.268
20,0.111,0.009,6,4,4.244,0.8,0.709
120,0.143,0.013,76,44,34.47,0.558,0.324
96,0.152,0.021,84,43,36.353,0.542,0.401
55,0.139,0.011,24,16,10.853,0.582,0.372
20,0.118,0.009,8,6,7.032,0.6,0.389
215,0.21,0.023,176,79,113.972,0.609,0.427
207,0.186,0.019,148,101,107.982,0.473,0.207
80,0.142,0.018,76,35,40.884,0.462,0.193
102,0.151,0.021,46,30,30.187,0.588,0.401
29,0.114,0.01,14,9,8.79,0.655,0.496
72,0.129,0.011,36,22,27.889,0.597,0.441
80,0.141,0.021,38,24,33.26,0.588,0.37
102,0.145,0.019,60,35,50.069,0.627,0.441
194,0.159,0.016,160,87,64.904,0.536,0.295
58,0.123,0.011,44,29,30.929,0.414,-0.024
20,0.116,0.011,4,2,3.904,0.9,0.858
75,0.141,0.011,60,33,21.798,0.627,0.454
115,0.192,0.023,76,57,54.773,0.33,-0.011
67,0.169,0.023,38,16,16.27,0.761,0.638
33,0.139,0.012,2,2,3.724,0.939,0.908
349,0.228,0.017,346,161,168.024,0.479,0.23
147,0.205,0.02,94,61,53.856,0.578,0.368
108,0.144,0.016,62,33,36.511,0.63,0.482
93,0.144,0.017,86,61,50.996,0.312,-0.032
75,0.139,0.018,24,12,20.53,0.8,0.705
74,0.142,0.019,30,16,22.282,0.77,0.67
76,0.129,0.012,50,28,37.83,0.645,0.462
25,0.115,0.009,0,0,2.452,1.0,1.0
76,0.143,0.015,66,36,16.76,0.447,0.184
56,0.143,0.02,36,23,23.533,0.536,0.307
206,0.207,0.02,166,99,100.029,0.485,0.231
133,0.158,0.013,48,23,40.824,0.827,0.749
38,0.127,0.011,24,16,16.565,0.421,0.158
173,0.19,0.021,112,54,71.74,0.653,0.475
48,0.136,0.019,18,12,12.061,0.667,0.501
112,0.151,0.018,44,27,37.275,0.714,0.594
102,0.141,0.013,90,53,51.926,0.48,0.208
28,0.114,0.009,0,0,1.293,1.0,1.0
22,0.116,0.01,12,6,3.664,0.727,0.657
159,0.151,0.012,72,44,53.745,0.686,0.524
19,0.112,0.01,12,9,9.902,0.474,0.021
76,0.135,0.01,58,31,29.692,0.592,0.368
231,0.219,0.023,208,106,111.264,0.55,0.339
89,0.173,0.021,66,53,51.11,0.449,0.179
61,0.143,0.02,26,17,29.355,0.754,0.634
258,0.214,0.02,164,111,129.776,0.543,0.325
76,0.141,0.018,56,27,25.058,0.553,0.305
76,0.16,0.022,44,24,25.553,0.645,0.496
87,0.156,0.023,42,32,30.456,0.506,0.28
125,0.157,0.018,54,29,50.638,0.72,0.58
299,0.232,0.02,166,97,197.071,0.625,0.439
120,0.155,0.02,64,39,61.224,0.642,0.467
83,0.145,0.018,12,6,6.503,0.928,0.897
37,0.121,0.011,8,5,3.687,0.838,0.752
32,0.113,0.01,18,15,16.65,0.375,-0.007
62,0.127,0.01,40,25,15.344,0.532,0.299
23,0.113,0.009,18,11,16.238,0.478,0.301
97,0.165,0.021,64,41,30.199,0.567,0.35
299,0.231,0.023,118,78,190.497,0.702,0.558
71,0.137,0.02,50,22,22.567,0.69,0.538
35,0.123,0.011,12,8,12.842,0.771,0.665
75,0.13,0.011,24,15,12.851,0.8,0.7
75,0.149,0.02,32,18,22.805,0.76,0.653
17,0.118,0.01,8,4,3.551,0.765,0.696
76,0.131,0.009,56,29,36.234,0.645,0.46
117,0.165,0.015,72,55,68.875,0.402,0.099
34,0.16,0.012,0,0,0.506,1.0,1.0
42,0.141,0.019,6,4,5.21,0.905,0.855
65,0.151,0.019,34,23,25.588,0.538,0.286
118,0.146,0.013,80,49,47.08,0.559,0.343
40,0.125,0.01,12,7,9.3,0.8,0.709
74,0.128,0.011,20,8,7.518,0.865,0.796
26,0.117,0.01,8,6,8.046,0.769,0.659
233,0.21,0.023,174,105,112.872,0.515,0.271
32,0.114,0.009,6,4,5.406,0.875,0.816
27,0.113,0.01,8,5,6.38,0.778,0.671
75,0.131,0.011,24,12,23.138,0.813,0.725
33,0.118,0.01,10,8,9.171,0.576,0.365
29,0.118,0.011,4,2,5.273,0.931,0.901
75,0.126,0.01,64,37,31.079,0.587,0.405
26,0.11,0.009,4,2,18.832,0.923,0.838
130,0.152,0.014,18,10,10.656,0.923,0.882
215,0.188,0.014,122,69,89.03,0.647,0.474
35,0.121,0.011,4,2,0.939,0.943,0.913
88,0.147,0.018,68,48,36.902,0.375,0.059
118,0.155,0.017,46,28,31.44,0.763,0.65
125,0.156,0.018,72,46,42.356,0.616,0.423
85,0.146,0.018,44,29,27.239,0.624,0.425
74,0.145,0.019,40,24,37.056,0.622,0.431
69,0.161,0.023,18,10,31.459,0.87,0.811
29,0.134,0.012,4,2,3.419,0.931,0.901
115,0.158,0.014,50,27,27.6,0.757,0.648
101,0.142,0.018,54,34,35.171,0.673,0.519
52,0.131,0.016,18,13,19.957,0.731,0.597
