seq_len,wall_time,cpu_time,rnadist string,rnadist tree,rnapdist,f1score,mcc
51,0.176,0.016,42,25,21.014,0.549,0.289
54,0.151,0.021,46,34,35.454,0.37,0.047
25,0.126,0.012,12,6,10.944,0.76,0.628
125,0.152,0.013,54,33,40.25,0.72,0.595
126,0.162,0.013,40,22,27.2,0.81,0.734
33,0.163,0.009,14,10,16.99,0.697,0.542
71,0.121,0.014,50,25,23.936,0.704,0.541
377,0.215,0.016,266,163,163.599,0.536,0.303
109,0.156,0.022,24,10,11.684,0.908,0.859
75,0.118,0.01,54,29,37.751,0.587,0.375
38,0.117,0.011,0,0,4.872,1.0,1.0
74,0.126,0.017,52,29,36.137,0.473,0.149
122,0.144,0.02,56,35,59.579,0.664,0.487
90,0.124,0.009,22,13,17.526,0.844,0.778
28,0.111,0.013,2,2,2.712,0.929,0.889
242,0.202,0.02,258,151,134.774,0.368,0.065
37,0.114,0.009,12,7,3.436,0.784,0.681
76,0.115,0.011,58,31,20.036,0.592,0.394
78,0.133,0.015,68,36,48.919,0.526,0.281
29,0.109,0.012,10,6,6.777,0.724,0.602
49,0.113,0.01,46,18,14.649,0.633,0.454
258,0.198,0.021,148,98,96.706,0.62,0.436
109,0.157,0.022,22,14,17.209,0.835,0.747
34,0.121,0.011,4,4,4.728,0.882,0.82
231,0.189,0.014,166,103,103.376,0.498,0.249
206,0.243,0.025,88,56,121.826,0.718,0.581
119,0.169,0.019,54,30,53.285,0.723,0.584
76,0.164,0.02,72,31,49.365,0.526,0.293
87,0.152,0.01,82,44,31.107,0.414,0.127
27,0.12,0.009,16,10,12.577,0.556,0.372
128,0.164,0.021,40,26,33.646,0.781,0.674
201,0.155,0.016,190,110,104.827,0.403,0.087
266,0.161,0.019,192,119,123.896,0.523,0.295
68,0.104,0.009,62,33,34.308,0.426,0.148
26,0.093,0.009,10,6,6.182,0.769,0.664
121,0.125,0.016,50,29,27.416,0.711,0.595
63,0.105,0.014,46,24,31.034,0.524,0.282
68,0.113,0.015,16,8,7.941,0.882,0.823
117,0.128,0.018,84,63,58.35,0.274,-0.111
210,0.152,0.019,174,113,101.441,0.414,0.123
319,0.173,0.019,330,174,184.375,0.37,0.042
70,0.109,0.014,52,30,31.073,0.571,0.354
76,0.108,0.013,76,42,32.73,0.434,0.108
258,0.167,0.019,214,142,125.623,0.399,0.103
14,0.088,0.008,6,4,3.78,0.714,0.509
73,0.102,0.009,50,31,32.932,0.534,0.297
43,0.107,0.015,10,6,6.149,0.86,0.799
33,0.096,0.008,8,5,3.653,0.818,0.742
78,0.109,0.009,42,29,27.787,0.654,0.465
76,0.117,0.015,52,34,16.007,0.579,0.366
161,0.148,0.018,88,50,61.445,0.584,0.374
256,0.166,0.018,220,144,134.581,0.402,0.097
169,0.14,0.016,154,84,82.648,0.533,0.319
182,0.142,0.017,108,64,62.797,0.61,0.429
38,0.101,0.009,10,6,7.91,0.842,0.765
75,0.104,0.009,66,25,36.846,0.573,0.367
73,0.109,0.015,38,21,26.204,0.699,0.591
49,0.098,0.008,10,8,11.85,0.837,0.759
24,0.091,0.007,12,9,4.572,0.583,0.092
104,0.122,0.016,26,19,25.677,0.788,0.684
363,0.174,0.018,374,208,187.878,0.366,0.099
392,0.226,0.022,316,177,179.03,0.561,0.343
104,0.114,0.01,18,13,18.382,0.865,0.798
29,0.095,0.008,4,2,0.66,0.931,0.898
123,0.133,0.019,50,26,42.519,0.789,0.695
154,0.129,0.011,134,79,84.704,0.468,0.258
23,0.095,0.008,4,2,0.146,0.913,0.871
102,0.148,0.018,42,29,28.302,0.637,0.455
120,0.131,0.018,78,40,45.105,0.608,0.423
70,0.111,0.016,60,30,42.388,0.586,0.389
119,0.131,0.017,66,34,49.772,0.697,0.546
23,0.095,0.008,0,0,2.51,1.0,1.0
155,0.146,0.015,62,35,53.356,0.742,0.616
377,0.208,0.02,282,180,175.353,0.432,0.141
120,0.132,0.02,58,32,42.343,0.733,0.624
33,0.095,0.01,12,8,9.101,0.697,0.555
73,0.102,0.009,42,32,28.666,0.493,0.234
363,0.169,0.019,376,210,202.04,0.364,0.044
34,0.101,0.011,8,6,6.354,0.824,0.729
100,0.116,0.01,44,27,28.388,0.72,0.609
29,0.096,0.011,6,4,2.384,0.862,0.793
25,0.09,0.008,4,2,6.358,0.92,0.881
280,0.167,0.02,198,125,117.224,0.568,0.347
35,0.101,0.008,0,0,15.715,1.0,1.0
242,0.156,0.012,174,109,112.996,0.496,0.226
64,0.104,0.009,52,34,34.995,0.422,0.105
25,0.092,0.009,10,6,4.079,0.76,0.642
68,0.11,0.015,48,27,33.384,0.662,0.489
256,0.165,0.015,218,150,126.486,0.418,0.119
28,0.095,0.008,12,10,6.704,0.643,0.453
86,0.118,0.015,64,33,37.608,0.581,0.37
71,0.114,0.015,36,21,21.158,0.676,0.517
89,0.116,0.014,80,57,36.918,0.292,-0.084
169,0.137,0.013,126,75,82.511,0.568,0.364
256,0.172,0.015,170,83,107.342,0.625,0.469
299,0.192,0.019,138,84,188.248,0.689,0.541
110,0.124,0.011,22,13,19.971,0.836,0.753
38,0.105,0.01,10,7,6.956,0.737,0.601
174,0.157,0.016,88,51,46.61,0.701,0.573
58,0.117,0.017,14,8,11.559,0.862,0.804
56,0.112,0.009,28,17,25.934,0.679,0.522
20,0.108,0.009,6,6,6.25,0.7,0.549
135,0.142,0.017,52,28,38.1,0.793,0.69
258,0.177,0.018,142,90,83.704,0.616,0.423
30,0.098,0.008,4,2,1.184,0.933,0.905
76,0.11,0.01,64,43,22.58,0.461,0.207
57,0.109,0.016,2,2,9.424,0.965,0.947
60,0.113,0.015,36,22,48.8,0.633,-0.124
83,0.136,0.017,42,19,40.3,0.771,0.653
76,0.116,0.015,62,35,25.137,0.513,0.291
135,0.128,0.017,98,54,75.094,0.593,0.312
106,0.118,0.017,56,34,38.81,0.604,0.39
23,0.092,0.009,0,0,0.164,1.0,1.0
40,0.094,0.008,24,16,23.158,0.6,0.378
136,0.133,0.017,70,37,37.333,0.728,0.592
34,0.092,0.008,28,20,21.366,0.5,0.004
117,0.118,0.013,76,53,64.508,0.436,0.112
71,0.115,0.016,8,4,7.895,0.944,0.911
68,0.118,0.015,60,28,26.263,0.324,-0.014
91,0.121,0.014,12,6,8.716,0.934,0.905
32,0.107,0.009,4,2,3.333,0.938,0.91
122,0.116,0.01,62,38,60.661,0.639,0.496
76,0.11,0.014,46,25,27.404,0.579,0.377
69,0.123,0.016,30,20,17.657,0.652,0.496
74,0.139,0.017,8,4,10.154,0.946,0.921
87,0.131,0.017,26,14,33.287,0.839,0.765
90,0.13,0.018,30,16,26.544,0.822,0.74
115,0.13,0.018,74,43,47.748,0.548,0.311
360,0.167,0.012,354,200,188.474,0.397,0.089
30,0.097,0.01,4,2,4.711,0.933,0.905
161,0.134,0.012,102,47,73.563,0.696,0.542
31,0.093,0.008,2,2,4.09,0.935,0.902
64,0.117,0.014,52,30,35.532,0.453,0.162
32,0.105,0.009,12,8,7.726,0.75,0.625
114,0.121,0.011,40,26,30.76,0.772,0.676
46,0.101,0.013,14,11,14.397,0.739,0.597
72,0.114,0.015,46,26,19.32,0.583,0.386
116,0.124,0.016,66,43,39.581,0.586,0.394
77,0.112,0.015,44,20,26.683,0.74,0.638
29,0.095,0.008,14,11,12.511,0.448,0.181
34,0.093,0.008,0,0,6.897,1.0,1.0
155,0.127,0.015,150,77,81.815,0.439,0.152
119,0.133,0.019,50,32,33.66,0.697,0.558
25,0.112,0.008,8,4,6.063,0.84,0.781
125,0.124,0.013,66,47,47.125,0.52,0.299
126,0.117,0.01,80,46,39.32,0.675,0.511
33,0.093,0.008,12,6,13.225,0.758,0.639
76,0.114,0.014,72,36,42.047,0.618,0.454
377,0.205,0.018,310,174,200.38,0.528,0.297
109,0.126,0.011,52,29,13.408,0.688,0.515
75,0.116,0.011,64,26,28.758,0.56,0.309
38,0.112,0.012,10,8,9.578,0.789,0.681
74,0.11,0.015,40,20,25.017,0.676,0.478
122,0.128,0.012,50,26,35.614,0.787,0.718
90,0.111,0.01,42,20,26.157,0.756,0.631
28,0.1,0.009,4,2,3.788,0.929,0.889
242,0.171,0.021,230,132,129.992,0.455,0.207
37,0.096,0.009,6,4,2.946,0.892,0.83
76,0.102,0.009,34,19,14.472,0.711,0.585
78,0.119,0.019,52,33,33.447,0.641,0.467
29,0.105,0.009,12,6,7.876,0.793,0.69
49,0.105,0.009,32,22,24.84,0.592,0.409
