seq_len,wall_time,cpu_time,rnadist string,rnadist tree,rnapdist,f1score,mcc,auc
34,0.019,0.007,12,6,5.057,0.824,0.765,
155,6.731,0.009,134,84,99.699,0.477,0.208,
51,0.018,0.005,10,7,11.358,0.804,0.685,
119,0.04,0.006,16,12,21.23,0.899,0.849,
54,0.018,0.005,8,4,8.551,0.926,0.893,
25,0.014,0.004,16,8,7.126,0.68,0.612,
125,1.54,0.006,100,59,52.612,0.552,0.334,
126,0.876,0.005,36,23,28.891,0.794,0.694,
33,0.018,0.003,24,13,12.571,0.636,0.45,
71,0.109,0.012,54,27,39.759,0.648,0.496,
126,0.053,0.011,62,31,45.975,0.722,0.578,
75,0.1,0.011,48,29,32.295,0.707,0.566,
109,0.043,0.01,14,11,15.466,0.89,0.831,
75,0.46,0.011,62,34,34.095,0.56,0.359,
38,0.01,0.005,12,8,8.613,0.789,0.685,
46,0.069,0.009,20,12,19.421,0.696,0.567,
74,0.135,0.009,28,14,17.276,0.811,0.722,
122,0.049,0.007,16,9,23.637,0.918,0.88,
90,0.033,0.007,18,10,12.048,0.889,0.841,
28,0.023,0.005,2,2,2.474,0.929,0.889,
118,0.321,0.007,20,12,18.949,0.898,0.852,
242,814.405,0.007,214,133,113.604,0.463,0.212,
37,0.021,0.004,6,4,7.152,0.892,0.83,
104,0.062,0.004,12,6,19.39,0.942,0.914,
29,0.006,0.006,8,5,3.247,0.793,0.69,
161,40.883,0.011,124,55,57.453,0.658,0.498,
144,0.517,0.009,24,14,32.616,0.889,0.835,
120,0.054,0.008,20,13,22.269,0.883,0.827,
16,0.008,0.006,4,4,5.474,0.75,0.624,
29,0.008,0.006,2,2,3.73,0.931,0.896,
210,136.345,0.008,184,104,104.241,0.519,0.303,
116,0.453,0.006,56,28,31.161,0.75,0.641,
113,6.456,0.006,86,58,58.631,0.496,0.291,
110,1.395,0.006,20,11,25.806,0.891,0.837,
75,0.019,0.004,36,19,26.434,0.733,0.647,
24,0.005,0.003,2,2,2.327,0.917,0.873,
44,0.025,0.01,30,17,15.081,0.591,0.398,
59,0.246,0.01,10,6,3.441,0.898,0.852,
35,0.008,0.005,4,3,3.674,0.886,0.828,
299,15.61,0.011,38,24,182.99,0.913,0.872,
161,23.239,0.011,42,24,25.473,0.814,0.724,
68,0.049,0.008,12,8,13.146,0.882,0.823,
122,1.072,0.009,40,22,36.326,0.82,0.741,
151,0.259,0.008,76,41,56.797,0.775,0.676,
107,0.048,0.007,62,33,36.077,0.794,0.692,
72,0.015,0.005,16,10,10.407,0.861,0.798,
57,0.07,0.005,32,20,16.823,0.719,0.579,
27,0.016,0.004,2,2,3.157,0.926,0.888,
136,0.09,0.004,22,13,15.219,0.897,0.851,
79,0.28,0.003,12,6,15.198,0.924,0.887,
28,0.011,0.002,8,4,6.366,0.857,0.806,
29,0.003,0.003,4,2,3.12,0.931,0.901,
72,0.02,0.01,56,29,46.26,0.681,0.549,
114,7.485,0.01,96,50,66.736,0.526,0.336,
174,14.217,0.01,76,43,48.107,0.707,0.582,
120,0.061,0.009,28,14,36.144,0.883,0.839,
43,0.01,0.007,0,0,5.764,1.0,1.0,
115,0.395,0.008,78,44,35.232,0.687,0.522,
185,0.167,0.008,86,38,50.425,0.859,0.789,
280,85.179,0.008,214,123,126.609,0.579,0.385,
38,0.012,0.006,0,0,1.799,1.0,1.0,
112,0.79,0.003,46,29,58.299,0.741,0.619,
331,346.711,0.004,196,96,101.666,0.704,0.571,
32,0.014,0.011,16,8,9.264,0.75,0.556,
77,0.019,0.01,16,8,17.31,0.896,0.855,
18,0.004,0.004,2,2,1.623,0.889,0.829,
41,0.009,0.009,8,4,7.39,0.902,0.755,
117,15.063,0.008,84,54,51.883,0.573,0.26,
34,0.006,0.006,0,0,2.707,1.0,1.0,
266,155.831,0.006,246,142,147.626,0.489,0.195,
61,0.015,0.005,8,4,12.548,0.934,0.902,
120,0.041,0.005,30,20,26.222,0.767,0.652,
75,0.091,0.004,24,12,42.229,0.84,0.778,
122,0.393,0.003,64,42,48.754,0.697,0.554,
339,234.162,0.004,286,181,174.527,0.499,0.238,
58,0.571,0.012,32,18,31.567,0.69,0.444,
37,0.005,0.005,8,4,4.179,0.892,0.845,
119,0.054,0.01,86,38,38.374,0.782,0.681,
76,1.192,0.01,40,27,26.72,0.605,0.418,
122,0.703,0.009,46,30,25.996,0.746,0.62,
118,0.071,0.008,38,21,23.895,0.814,0.728,
50,0.124,0.008,12,6,22.626,0.88,0.829,
50,0.038,0.007,20,10,18.593,0.8,0.712,
77,0.023,0.006,12,6,35.72,0.922,0.887,
182,1.755,0.006,106,58,59.744,0.698,0.553,
179,0.765,0.005,46,27,38.348,0.855,0.777,
96,1.972,0.012,88,52,60.659,0.5,0.228,
58,0.018,0.01,16,8,14.143,0.862,0.812,
77,0.202,0.011,20,13,28.396,0.792,0.7,
27,0.011,0.007,0,0,1.608,1.0,1.0,
155,1.303,0.01,28,19,52.763,0.858,0.79,
125,0.22,0.009,66,46,46.857,0.648,0.489,
91,0.021,0.008,20,10,20.542,0.89,0.847,
29,0.016,0.008,4,2,5.757,0.931,0.898,
120,0.058,0.006,38,26,34.936,0.758,0.646,
39,0.009,0.004,4,2,2.763,0.949,0.926,
21,0.009,0.004,8,4,7.349,0.81,0.745,
99,0.056,0.004,4,2,6.876,0.98,0.97,
231,5.217,0.005,136,73,91.272,0.714,0.573,
115,0.131,0.003,78,50,55.24,0.591,0.428,
151,0.249,0.012,76,42,57.711,0.781,0.683,
92,0.027,0.011,6,6,13.142,0.935,0.901,
103,0.384,0.011,20,11,29.325,0.883,0.835,
91,0.022,0.009,16,8,12.734,0.912,0.876,
