seq_len,wall_time,cpu_time,rnadist string,rnadist tree,rnapdist,f1score,mcc,auc
20,13.181,15.532,0,0,1.529,1.0,1.0,
118,39.531,50.216,2,2,41.276,0.983,0.974,
135,613.331,797.187,16,8,31.759,0.941,0.912,
377,613.781,797.769,162,94,159.937,0.79,0.673,
258,613.92,797.95,92,53,107.802,0.829,0.745,
30,13.161,15.513,8,4,3.356,0.867,0.816,
76,613.267,797.095,8,4,31.54,0.947,0.915,
154,612.907,796.623,50,20,73.123,0.87,0.782,
57,13.336,15.953,0,0,10.478,1.0,1.0,
117,613.489,797.401,16,8,67.432,0.932,0.894,
82,613.145,796.942,28,8,12.621,0.902,0.856,
97,613.61,797.553,24,10,15.539,0.897,0.845,
60,613.754,797.738,8,4,58.815,0.933,,
83,613.123,796.917,14,6,27.621,0.928,0.891,
50,613.589,797.527,16,8,25.73,0.84,0.705,
347,613.516,798.338,76,37,79.013,0.896,0.846,
76,13.819,17.257,0,0,23.945,1.0,1.0,
52,612.614,797.272,12,10,20.465,0.808,0.688,
135,611.871,796.338,36,18,82.492,0.867,0.625,
82,613.297,798.069,28,8,12.873,0.902,0.856,
106,13.436,16.199,0,0,16.233,1.0,1.0,
23,12.368,13.867,0,0,0.241,1.0,1.0,
40,613.525,798.35,4,2,3.71,0.95,0.877,
331,613.584,798.417,88,48,123.509,0.882,0.809,
136,13.697,16.947,4,2,14.985,0.985,0.978,
34,613.578,798.41,8,4,9.003,0.882,0.672,
117,613.26,798.024,24,13,67.267,0.889,0.826,
71,13.283,15.873,8,4,7.786,0.944,0.911,
125,613.177,797.913,8,4,31.543,0.968,0.952,
68,613.204,797.955,44,25,24.786,0.765,0.653,
120,46.282,60.603,8,4,22.449,0.967,0.949,
91,13.372,16.104,6,4,6.557,0.956,0.934,
122,303.71,400.249,8,4,52.313,0.967,0.949,
32,13.496,16.501,0,0,0.1,1.0,1.0,
388,613.6,770.478,108,49,93.637,0.884,0.825,
73,613.718,770.628,4,2,34.16,0.973,0.884,
106,613.628,770.516,8,4,22.08,0.962,0.943,
76,37.996,49.145,6,4,28.91,0.947,0.916,
120,106.28,135.033,6,4,20.721,0.967,0.949,
69,613.677,770.577,16,10,18.047,0.87,0.804,
74,612.767,769.537,32,16,49.325,0.784,0.561,
74,13.067,15.422,2,2,4.443,0.973,0.959,
392,613.284,770.134,206,115,166.418,0.745,0.619,
87,13.997,17.388,4,2,43.176,0.977,0.965,
70,613.634,770.524,8,4,11.304,0.943,0.906,
90,18.721,24.007,0,0,8.93,1.0,1.0,
88,613.69,770.598,12,6,69.451,0.932,0.871,
115,613.687,770.595,80,39,68.964,0.774,0.627,
360,613.722,770.635,90,41,222.715,0.886,0.713,
30,12.967,15.182,0,0,0.168,1.0,1.0,
161,612.315,769.003,66,32,48.794,0.845,0.768,
31,15.829,20.16,4,2,5.427,0.935,0.907,
195,613.685,770.594,16,10,56.709,0.949,0.921,
64,613.647,770.548,14,2,37.34,0.969,0.952,
32,13.313,16.038,4,3,4.943,0.875,0.815,
114,24.42,30.133,4,2,32.114,0.982,0.973,
169,612.876,728.222,16,10,43.928,0.941,0.907,
46,613.67,729.15,24,12,14.411,0.739,0.589,
83,613.767,729.252,34,18,23.385,0.855,0.776,
72,20.814,25.679,6,4,22.225,0.944,0.889,
115,612.791,728.1,30,15,45.9,0.87,0.795,
116,614.157,729.66,12,6,37.33,0.948,0.917,
77,54.054,65.542,4,4,22.657,0.948,0.918,
77,614.136,729.638,14,4,16.989,0.948,0.921,
29,12.549,14.33,0,0,0.217,1.0,1.0,
34,12.719,14.809,0,0,8.159,1.0,1.0,
155,613.293,728.754,66,38,105.941,0.819,0.63,
51,613.133,728.568,8,4,7.91,0.922,0.874,
119,23.839,29.47,2,2,17.28,0.983,0.975,
54,13.004,15.47,0,0,3.427,1.0,1.0,
25,13.351,16.16,0,0,9.316,1.0,1.0,
125,613.94,729.434,8,4,32.349,0.968,0.952,
126,32.041,39.049,2,2,22.027,0.984,0.976,
33,13.243,15.961,10,4,3.327,0.879,0.819,
76,613.918,717.7,12,2,15.553,0.974,0.961,
71,137.623,162.276,2,2,16.349,0.972,0.954,
126,22.45,27.558,4,2,25.632,0.984,0.975,
377,614.652,718.458,116,56,145.387,0.867,0.793,
75,14.267,17.465,2,2,31.824,0.973,0.955,
109,14.62,17.94,0,0,7.259,1.0,1.0,
75,14.571,17.878,8,4,25.174,0.947,0.917,
38,13.039,14.882,4,2,1.182,0.947,0.92,
46,613.707,717.451,14,8,18.582,0.826,0.725,
74,613.551,717.275,4,2,25.69,0.973,0.955,
74,613.265,716.962,12,4,24.459,0.946,0.919,
122,63.256,75.534,4,2,24.276,0.984,0.975,
90,19.397,24.022,4,2,10.585,0.978,0.967,
28,13.557,16.423,2,2,1.561,0.929,0.889,
118,614.561,718.362,6,4,15.307,0.966,0.949,
242,614.266,718.059,122,81,150.239,0.715,0.498,
37,13.531,16.35,0,0,3.662,1.0,1.0,
76,613.718,717.461,14,2,24.583,0.974,0.959,
104,28.049,34.236,4,2,16.167,0.981,0.971,
78,613.731,717.477,12,2,21.468,0.974,0.961,
29,14.941,19.434,4,2,4.095,0.931,0.897,
49,612.153,824.151,30,21,22.983,0.51,0.294,
142,613.461,825.998,24,9,27.588,0.93,0.894,
258,612.672,824.911,44,24,89.844,0.907,0.86,
156,612.924,825.295,16,8,54.244,0.949,0.915,
161,612.509,824.682,22,9,23.219,0.925,0.889,
144,613.552,826.106,12,6,23.687,0.958,0.939,
120,14.153,18.156,4,2,12.049,0.983,0.975,
16,13.641,17.031,0,0,1.698,1.0,1.0,
62,612.595,824.812,10,2,26.278,0.968,0.952,
29,12.632,14.449,2,2,4.672,0.931,0.896,
349,613.502,826.054,160,75,201.357,0.825,0.684,
210,612.957,825.35,48,22,126.225,0.895,0.791,
116,613.205,825.662,12,6,41.013,0.948,0.919,
113,612.911,825.286,28,15,76.347,0.867,0.712,
110,612.944,825.335,22,10,30.173,0.909,0.863,
75,13.522,16.832,0,0,30.359,1.0,1.0,
189,613.277,825.758,104,45,81.5,0.767,0.652,
67,613.207,825.668,10,2,21.186,0.97,0.956,
24,13.056,15.563,0,0,0.279,1.0,1.0,
84,614.215,762.608,10,4,17.436,0.952,0.928,
44,614.731,763.137,4,2,23.689,0.955,0.894,
59,612.391,760.458,12,8,3.497,0.864,0.801,
161,613.184,761.412,28,13,39.518,0.913,0.872,
35,13.127,15.716,4,2,1.198,0.943,0.914,
299,613.521,761.836,12,6,170.672,0.98,0.97,
161,612.829,760.979,20,10,29.201,0.938,0.907,
84,612.691,760.807,34,21,26.917,0.786,0.687,
68,15.073,18.917,0,0,7.588,1.0,1.0,
122,46.841,58.883,4,4,23.113,0.967,0.949,
151,430.03,534.471,8,4,43.9,0.974,0.961,
107,13.237,15.99,8,4,16.747,0.963,0.945,
72,14.431,17.712,4,2,6.31,0.972,0.959,
59,613.216,761.446,14,4,12.879,0.932,0.898,
57,612.93,761.095,10,6,10.617,0.895,0.847,
188,613.485,761.796,64,26,63.156,0.856,0.785,
27,613.035,761.248,4,2,0.199,0.926,0.894,
136,14.34,17.56,6,4,16.482,0.971,0.956,
79,612.763,760.902,12,4,15.346,0.949,0.927,
28,13.228,16.015,0,0,0.457,1.0,1.0,
29,13.637,16.708,0,0,0.243,1.0,1.0,
62,612.447,835.845,26,14,16.135,0.79,0.686,
72,13.944,17.648,0,0,18.622,1.0,1.0,
206,613.648,837.489,36,26,84.118,0.879,0.818,
114,613.54,837.341,16,8,88.881,0.93,0.839,
174,613.028,836.715,30,15,65.73,0.908,0.853,
360,613.662,837.507,98,48,206.746,0.878,0.687,
120,21.467,28.085,4,2,36.984,0.983,0.975,
43,13.664,16.881,8,4,9.59,0.907,0.868,
115,15.06,19.555,4,2,22.713,0.983,0.973,
185,15.054,19.548,6,4,25.637,0.978,0.968,
280,612.964,836.623,32,16,131.771,0.95,0.915,
48,612.719,836.266,20,8,17.681,0.833,0.745,
76,613.407,837.169,12,2,25.224,0.974,0.96,
38,13.109,15.393,0,0,0.225,1.0,1.0,
83,613.36,837.106,12,4,24.324,0.952,0.927,
142,613.657,837.498,40,20,35.27,0.894,0.841,
94,613.48,837.27,28,13,29.622,0.862,0.799,
112,613.306,837.046,16,9,51.726,0.911,0.849,
331,613.426,837.199,116,57,145.842,0.852,0.759,
388,613.135,818.093,68,34,83.749,0.91,0.864,
32,613.089,818.043,16,4,0.342,0.875,0.792,
23,613.803,819.044,4,2,1.06,0.913,0.871,
189,613.002,817.924,84,39,82.891,0.804,0.709,
77,13.335,16.013,2,2,10.078,0.974,0.961,
82,612.732,817.544,12,6,36.454,0.927,0.873,
18,13.072,15.445,0,0,0.158,1.0,1.0,
41,613.558,818.711,4,2,4.407,0.951,0.875,
86,613.172,818.145,12,2,4.158,0.977,0.965,
140,613.688,818.891,32,15,39.791,0.886,0.83,
117,613.766,819.004,28,14,103.498,0.88,0.522,
115,613.172,818.148,36,21,50.043,0.843,0.749,
34,13.085,15.503,0,0,2.897,1.0,1.0,
