seq_len,wall_time,cpu_time,rnadist string,rnadist tree,rnapdist,f1score,mcc,auc
20,13.096,15.338,4,2,3.042,0.9,0.858,
118,68.608,86.227,8,4,46.327,0.966,0.949,
135,613.086,784.694,12,6,33.371,0.956,0.934,
377,613.156,784.789,200,105,172.079,0.78,0.652,
258,613.278,784.945,48,21,89.327,0.915,0.873,
30,13.483,16.158,0,0,1.585,1.0,1.0,
76,613.534,785.223,8,4,32.906,0.947,0.915,
154,612.867,784.435,28,14,74.281,0.909,0.848,
57,14.031,17.057,0,0,10.08,1.0,1.0,
117,613.072,784.682,26,14,62.955,0.88,0.815,
82,613.204,784.846,50,24,22.607,0.78,0.664,
97,612.681,784.205,42,21,25.79,0.866,0.798,
60,613.961,785.695,8,4,60.19,0.933,,
83,612.667,784.19,16,8,29.703,0.904,0.858,
50,613.726,785.457,12,6,22.14,0.88,0.782,
347,613.823,791.475,118,75,84.694,0.801,0.703,
76,13.411,15.809,6,2,22.834,0.974,0.959,
52,613.257,790.846,46,16,10.156,0.673,0.472,
135,614.329,792.022,36,18,87.169,0.867,0.625,
82,613.506,791.128,28,11,17.209,0.866,0.802,
106,13.609,16.273,0,0,16.916,1.0,1.0,
23,12.623,14.065,0,0,0.236,1.0,1.0,
40,612.711,790.213,6,2,3.775,0.95,0.877,
331,613.909,791.588,72,32,131.087,0.909,0.855,
136,14.014,16.827,8,4,21.925,0.971,0.957,
34,612.981,790.542,8,4,9.339,0.882,0.672,
117,613.833,791.489,16,8,65.603,0.932,0.892,
71,14.172,17.027,0,0,0.287,1.0,1.0,
125,613.811,791.461,6,4,30.066,0.968,0.952,
68,613.614,791.253,48,25,33.409,0.647,0.473,
120,17.462,21.336,4,2,16.565,0.983,0.975,
91,13.184,15.402,0,0,9.564,1.0,1.0,
122,25.858,32.282,6,4,47.961,0.967,0.949,
32,13.381,15.852,6,4,6.18,0.875,0.815,
388,613.671,760.347,78,38,88.09,0.897,0.847,
73,614.159,760.886,4,2,34.205,0.973,0.884,
106,613.704,760.4,16,8,24.49,0.925,0.886,
76,40.628,49.655,4,2,23.06,0.974,0.959,
120,57.924,71.255,4,2,20.579,0.983,0.975,
69,613.062,759.549,4,2,14.373,0.971,0.957,
74,612.866,759.318,52,20,48.522,0.73,0.412,
74,12.69,14.188,0,0,2.544,1.0,1.0,
392,613.59,760.254,140,54,131.223,0.857,0.791,
87,14.026,16.983,8,4,43.97,0.954,0.932,
70,613.335,759.899,8,4,11.168,0.943,0.906,
90,17.239,21.056,8,4,5.753,0.956,0.935,
88,613.249,759.804,14,10,68.609,0.886,0.78,
115,613.049,759.538,32,12,50.153,0.896,0.834,
360,613.731,760.447,92,41,220.323,0.883,0.702,
30,13.821,16.662,0,0,0.272,1.0,1.0,
161,613.656,760.348,78,39,52.502,0.814,0.722,
31,14.691,17.867,6,4,7.723,0.871,0.809,
195,613.361,759.949,12,6,55.631,0.969,0.953,
64,613.009,759.489,22,10,35.348,0.844,0.754,
32,13.75,16.823,0,0,2.727,1.0,1.0,
114,22.813,26.953,6,4,28.462,0.974,0.96,
169,614.18,712.146,8,4,40.301,0.976,0.963,
46,613.849,711.814,12,6,21.815,0.87,0.793,
83,612.755,710.581,36,18,20.861,0.831,0.738,
72,15.775,19.167,0,0,21.514,1.0,1.0,
115,612.862,710.732,22,11,41.77,0.896,0.837,
116,612.155,709.803,20,11,37.87,0.897,0.837,
77,27.623,32.457,0,0,21.11,1.0,1.0,
77,613.858,711.823,28,13,13.339,0.831,0.741,
29,12.659,14.582,4,2,2.288,0.931,0.901,
34,13.559,16.359,4,2,5.687,0.941,0.913,
155,613.823,711.785,36,19,106.123,0.871,0.74,
51,613.573,711.525,28,14,7.178,0.725,0.562,
119,26.092,30.67,6,4,17.567,0.975,0.962,
54,13.661,16.692,0,0,3.377,1.0,1.0,
25,13.265,15.506,4,2,7.597,0.92,0.881,
125,613.861,711.821,12,6,34.779,0.952,0.927,
126,27.855,32.754,0,0,21.416,1.0,1.0,
33,14.244,17.473,4,2,4.525,0.939,0.908,
76,612.488,707.768,12,4,16.95,0.947,0.923,
71,63.207,71.935,0,0,13.299,1.0,1.0,
126,27.219,31.592,4,2,21.896,0.984,0.976,
377,613.7,709.129,140,78,162.517,0.825,0.726,
75,14.236,16.99,0,0,30.784,1.0,1.0,
109,14.102,16.846,4,2,9.34,0.982,0.972,
75,15.276,18.23,8,4,30.307,0.947,0.911,
38,14.205,16.956,0,0,1.073,1.0,1.0,
46,613.247,708.623,32,15,18.255,0.739,0.584,
74,613.505,708.905,8,4,24.447,0.946,0.91,
74,613.025,708.378,12,5,24.276,0.919,0.877,
122,99.703,114.014,4,2,22.549,0.984,0.975,
90,14.426,17.251,4,4,11.575,0.956,0.932,
28,13.332,15.886,0,0,1.182,1.0,1.0,
118,612.473,707.753,16,10,17.075,0.915,0.873,
242,613.529,708.95,144,92,149.786,0.711,0.493,
37,13.706,16.395,0,0,4.04,1.0,1.0,
76,613.49,708.896,18,6,26.883,0.921,0.876,
104,53.172,60.478,2,2,17.37,0.981,0.971,
78,614.378,709.802,20,9,23.739,0.872,0.803,
29,15.464,19.001,8,4,6.456,0.862,0.812,
49,613.603,815.904,32,22,25.765,0.673,0.533,
142,612.714,814.643,48,24,32.366,0.873,0.813,
258,613.287,815.43,50,27,84.867,0.891,0.838,
156,613.138,815.214,14,8,53.607,0.949,0.916,
161,614.021,816.341,36,17,27.482,0.888,0.834,
144,613.548,815.832,26,14,25.806,0.903,0.855,
120,16.315,20.203,4,2,10.174,0.983,0.975,
16,14.18,17.288,4,2,6.351,0.875,0.828,
62,613.438,815.673,32,16,23.038,0.855,0.781,
29,12.698,14.439,8,4,2.859,0.862,0.812,
349,613.131,815.206,136,81,188.142,0.814,0.666,
210,613.459,815.71,60,36,127.682,0.857,0.707,
116,613.467,815.723,16,8,40.302,0.931,0.89,
113,613.566,815.867,26,14,70.327,0.876,0.734,
110,613.483,815.75,22,13,25.985,0.873,0.808,
75,16.605,20.592,4,2,25.687,0.973,0.957,
189,613.075,815.144,44,20,76.099,0.894,0.845,
67,613.565,815.87,30,19,24.456,0.806,0.706,
24,14.184,17.303,0,0,0.291,1.0,1.0,
84,612.805,751.411,14,6,18.029,0.929,0.889,
44,613.444,752.178,4,4,23.589,0.909,0.79,
59,612.431,750.97,12,8,3.947,0.864,0.801,
161,613.446,752.18,60,31,47.355,0.845,0.773,
35,14.283,17.449,0,0,0.182,1.0,1.0,
299,310.459,380.945,8,4,171.812,0.987,0.98,
161,612.621,751.191,30,13,30.452,0.913,0.869,
84,612.976,751.672,34,22,27.337,0.738,0.612,
68,13.159,15.648,0,0,7.456,1.0,1.0,
122,91.517,110.98,8,4,29.328,0.967,0.951,
151,24.146,28.312,8,4,45.464,0.974,0.961,
107,17.612,21.047,0,0,11.399,1.0,1.0,
72,25.542,29.906,4,2,6.482,0.972,0.959,
59,612.913,751.593,30,17,18.448,0.746,0.603,
57,612.858,751.511,4,2,14.791,0.965,0.947,
188,612.921,751.603,70,19,72.347,0.904,0.857,
27,612.76,751.366,10,6,4.778,0.778,0.671,
136,14.213,17.364,4,2,19.395,0.985,0.978,
79,613.334,752.059,12,4,11.32,0.949,0.927,
28,13.777,16.764,0,0,0.262,1.0,1.0,
29,13.018,15.05,0,0,0.234,1.0,1.0,
62,613.472,832.003,36,22,12.315,0.71,0.555,
72,13.751,16.783,8,4,21.482,0.944,0.917,
206,612.795,831.123,54,31,91.046,0.864,0.796,
114,613.439,831.957,18,10,91.255,0.912,0.794,
174,612.759,831.076,26,14,67.314,0.914,0.862,
360,612.427,830.621,96,55,221.065,0.858,0.642,
120,18.864,23.473,4,2,33.939,0.983,0.975,
43,12.715,14.521,4,2,6.718,0.953,0.932,
115,18.707,23.238,4,2,24.674,0.983,0.973,
185,14.376,17.587,0,0,22.327,1.0,1.0,
280,613.468,831.997,88,54,133.378,0.8,0.657,
48,612.794,831.138,20,8,18.944,0.833,0.736,
76,612.561,830.796,14,5,26.943,0.921,0.879,
38,13.281,15.883,4,2,3.747,0.947,0.921,
83,613.351,831.852,12,4,20.19,0.952,0.927,
142,613.418,831.943,40,24,43.953,0.894,0.842,
94,612.616,830.889,52,25,32.143,0.777,0.668,
112,613.4,831.92,8,6,51.117,0.946,0.909,
331,613.379,831.891,88,50,128.847,0.882,0.808,
388,614.061,820.25,108,49,85.835,0.874,0.811,
32,613.101,819.052,16,7,3.509,0.75,0.56,
23,612.845,818.689,4,2,0.895,0.913,0.871,
189,612.657,818.453,82,42,57.754,0.783,0.677,
77,13.249,15.794,4,2,9.335,0.974,0.962,
82,613.111,819.067,4,2,37.471,0.976,0.958,
18,12.824,14.645,2,2,2.256,0.889,0.829,
41,613.56,819.707,4,2,4.4,0.951,0.875,
86,613.143,819.115,12,6,10.1,0.93,0.899,
140,613.006,818.918,56,23,40.459,0.829,0.741,
117,612.528,818.303,28,14,102.264,0.88,0.522,
115,613.498,819.619,16,8,50.139,0.93,0.89,
34,13.136,15.59,0,0,2.818,1.0,1.0,
84,613.106,819.073,38,27,47.367,0.786,0.642,
266,613.275,819.327,130,76,177.737,0.741,0.543,
61,14.27,17.447,4,2,17.848,0.967,0.949,
120,88.195,111.026,8,4,22.315,0.967,0.949,
75,108.619,137.235,0,0,51.181,1.0,1.0,
122,43.128,53.633,4,2,21.439,0.984,0.975,
339,613.628,819.801,48,24,222.171,0.929,0.828,
91,612.905,726.514,8,6,47.162,0.934,0.906,
58,612.512,725.994,34,12,35.493,0.793,0.597,
